,metric,value,step
461,Loss/train,0.18749964237213135,4167776.0
462,Loss/train,0.17950448393821716,4170976.0
463,Loss/train,0.15769529342651367,4174176.0
464,Loss/train,0.14753279089927673,4177376.0
465,Loss/train,0.16193927824497223,4180576.0
466,Loss/train,0.1547212302684784,4183776.0
467,Loss/train,0.17652437090873718,4186976.0
468,Loss/train,0.1425933837890625,4190176.0
469,Loss/train,0.15628090500831604,4193376.0
470,Loss/train,0.18359114229679108,4196576.0
471,Loss/train,0.17499342560768127,4199776.0
472,Loss/train,0.19120250642299652,4202976.0
473,Loss/train,0.18021605908870697,4206176.0
474,Loss/train,0.19204765558242798,4209376.0
475,Loss/train,0.1485070288181305,4212576.0
476,Loss/train,0.1925741732120514,4215776.0
477,Loss/train,0.17214623093605042,4218976.0
478,Loss/train,0.1683935672044754,4222176.0
479,Loss/train,0.14244818687438965,4225376.0
480,Loss/train,0.13829311728477478,4228576.0
481,Loss/train,0.15560400485992432,4231776.0
482,Loss/train,0.1386888176202774,4234976.0
483,Loss/train,0.1879388839006424,4238176.0
484,Loss/train,0.1380668729543686,4241376.0
485,Loss/train,0.15389488637447357,4244576.0
486,Loss/train,0.15513305366039276,4247776.0
487,Loss/train,0.13912688195705414,4250976.0
488,Loss/train,0.1508811116218567,4254176.0
489,Loss/train,0.18750421702861786,4257376.0
490,Loss/train,0.18469996750354767,4260576.0
491,Loss/train,0.1819474846124649,4263776.0
492,Loss/train,0.19748333096504211,4266976.0
493,Loss/train,0.13493487238883972,4270176.0
494,Loss/train,0.1607411503791809,4273376.0
495,Loss/train,0.15120850503444672,4276576.0
496,Loss/train,0.1532682329416275,4279776.0
497,Loss/train,0.15678131580352783,4282976.0
498,Loss/train,0.16049671173095703,4286176.0
499,Loss/train,0.18324163556098938,4289376.0
500,Loss/train,0.12493977695703506,4292576.0
501,Loss/train,0.15409214794635773,4295776.0
502,Loss/train,0.16958019137382507,4298976.0
503,Loss/train,0.2067061811685562,4302176.0
504,Loss/train,0.1883792132139206,4305376.0
505,Loss/train,0.1622922569513321,4308576.0
506,Loss/train,0.12658275663852692,4311776.0
507,Loss/train,0.1620149165391922,4314976.0
508,Loss/train,0.12277238816022873,4318176.0
509,Loss/train,0.17141182720661163,4321376.0
510,Loss/train,0.13830304145812988,4324576.0
511,Loss/train,0.16182900965213776,4327776.0
512,Loss/train,0.12758074700832367,4330976.0
513,Loss/train,0.13988256454467773,4334176.0
514,Loss/train,0.17102573812007904,4337376.0
515,Loss/train,0.1638147234916687,4340576.0
516,Loss/train,0.11917667835950851,4343776.0
517,Loss/train,0.14838097989559174,4346976.0
518,Loss/train,0.19714118540287018,4350176.0
519,Loss/train,0.16638168692588806,4353376.0
520,Loss/train,0.1842733472585678,4356576.0
521,Loss/train,0.13862107694149017,4359776.0
522,Loss/train,0.15971042215824127,4362976.0
523,Loss/train,0.16591687500476837,4366176.0
524,Loss/train,0.15658071637153625,4369376.0
525,Loss/train,0.12014316022396088,4372576.0
526,Loss/train,0.13027289509773254,4375776.0
527,Loss/train,0.16066837310791016,4378976.0
528,Loss/train,0.15087561309337616,4382176.0
529,Loss/train,0.13438808917999268,4385376.0
530,Loss/train,0.22308257222175598,4388576.0
531,Loss/train,0.1624222844839096,4391776.0
532,Loss/train,0.19752739369869232,4394976.0
533,Loss/train,0.20465849339962006,4398176.0
534,Loss/train,0.15403488278388977,4401376.0
535,Loss/train,0.14643432199954987,4404576.0
536,Loss/train,0.16809521615505219,4407776.0
537,Loss/train,0.19670997560024261,4410976.0
538,Loss/train,0.17347975075244904,4414176.0
539,Loss/train,0.15180683135986328,4417376.0
540,Loss/train,0.1596841961145401,4420576.0
541,Loss/train,0.1584061235189438,4423776.0
542,Loss/train,0.14226901531219482,4426976.0
543,Loss/train,0.1552046537399292,4430176.0
544,Loss/train,0.19690392911434174,4433376.0
545,Loss/train,0.17822451889514923,4436576.0
546,Loss/train,0.14970900118350983,4439776.0
547,Loss/train,0.13818375766277313,4442976.0
548,Loss/train,0.18257465958595276,4446176.0
549,Loss/train,0.1714644432067871,4449376.0
550,Loss/train,0.1340116709470749,4452576.0
551,Loss/train,0.19162072241306305,4455776.0
552,Loss/train,0.1700478345155716,4458976.0
553,Loss/train,0.1587536484003067,4462176.0
554,Loss/train,0.14979040622711182,4465376.0
555,Loss/train,0.13817904889583588,4468576.0
556,Loss/train,0.14561142027378082,4471776.0
557,Loss/train,0.1354931890964508,4474976.0
558,Loss/train,0.12827445566654205,4478176.0
559,Loss/train,0.21140135824680328,4481376.0
560,Loss/train,0.227524995803833,4484576.0
561,Loss/train,0.14746467769145966,4487776.0
562,Loss/train,0.18827442824840546,4487808.0
563,Loss/train,0.1468048095703125,4491008.0
564,Loss/train,0.1588156372308731,4494208.0
565,Loss/train,0.17940674722194672,4497408.0
566,Loss/train,0.14483365416526794,4500608.0
567,Loss/train,0.12343768030405045,4503808.0
568,Loss/train,0.15424270927906036,4507008.0
569,Loss/train,0.2318275272846222,4510208.0
570,Loss/train,0.1228267028927803,4513408.0
571,Loss/train,0.11603696644306183,4516608.0
572,Loss/train,0.15755613148212433,4519808.0
573,Loss/train,0.16118645668029785,4523008.0
574,Loss/train,0.14846910536289215,4526208.0
575,Loss/train,0.14037750661373138,4529408.0
576,Loss/train,0.14972420036792755,4532608.0
577,Loss/train,0.11777696758508682,4535808.0
578,Loss/train,0.1421937644481659,4539008.0
579,Loss/train,0.1376793533563614,4542208.0
580,Loss/train,0.1608211100101471,4545408.0
581,Loss/train,0.14642779529094696,4548608.0
582,Loss/train,0.13687549531459808,4551808.0
583,Loss/train,0.11256349831819534,4555008.0
584,Loss/train,0.11028370261192322,4558208.0
585,Loss/train,0.14630970358848572,4561408.0
586,Loss/train,0.1470002382993698,4564608.0
587,Loss/train,0.1304750144481659,4567808.0
588,Loss/train,0.11579892039299011,4571008.0
589,Loss/train,0.15240642428398132,4574208.0
590,Loss/train,0.16717615723609924,4577408.0
591,Loss/train,0.14312539994716644,4580608.0
592,Loss/train,0.17237107455730438,4583808.0
593,Loss/train,0.20702718198299408,4587008.0
594,Loss/train,0.1876712143421173,4590208.0
595,Loss/train,0.15793608129024506,4593408.0
596,Loss/train,0.17234891653060913,4596608.0
597,Loss/train,0.14716632664203644,4599808.0
598,Loss/train,0.18252842128276825,4603008.0
599,Loss/train,0.1674024611711502,4606208.0
600,Loss/train,0.12436647713184357,4609408.0
601,Loss/train,0.14111220836639404,4612608.0
602,Loss/train,0.11260168999433517,4615808.0
603,Loss/train,0.1299191117286682,4619008.0
604,Loss/train,0.1758035123348236,4622208.0
605,Loss/train,0.135426327586174,4625408.0
606,Loss/train,0.20227423310279846,4628608.0
